image_file,image_width,image_height,aoi_id,label,kind,z_order,x_norm,y_norm,w_norm,h_norm,points_norm,pixel_count,area_fraction,bbox_x,bbox_y,bbox_w,bbox_h
001.jpg,1200,1049,BG,background / rest,background,0,,,,,,693834,0.551186844613918,0,0,1200,1049
001.jpg,1200,1049,AOI1,main object / figure,ellipse,1,0.087444,0.103846,0.7713,0.739744,,477292,0.3791642834445504,105,109,926,777
001.jpg,1200,1049,AOI2,central detail,ellipse,2,0.311157,0.267513,0.288,0.306,,87674,0.06964887194153162,373,281,347,322
002.jpg,460,600,BG,background / rest,background,0,,,,,,1138,0.0041231884057971015,0,129,460,192
002.jpg,460,600,AOI1,AOI 1,rect,1,0.0,0.0,1.0,0.213333,,58882,0.21334057971014492,0,0,460,129
002.jpg,460,600,AOI2,AOI 2,rect,2,0.004348,0.213333,0.995652,0.181667,,50380,0.18253623188405796,2,128,458,110
002.jpg,460,600,AOI3,AOI 3,rect,3,0.0,0.398333,1.0,0.133334,,37260,0.135,0,239,460,81
002.jpg,460,600,AOI4,AOI 4,rect,4,0.0,0.535,1.0,0.318333,,88320,0.32,0,321,460,192
002.jpg,460,600,AOI5,AOI 5,rect,5,0.0,0.855,1.0,0.145,,40020,0.145,0,513,460,87
003.jpg,1200,942,BG,background / rest,background,0,,,,,,316167,0.2796947983014862,0,0,1200,942
003.jpg,1200,942,AOI1,main object / figure,ellipse,1,0.608652,0.083333,0.320926,0.739744,,211548,0.1871443736730361,730,78,386,698
003.jpg,1200,942,AOI2,central detail,ellipse,2,0.264588,0.038462,0.304829,0.341026,,0,0.0,0,0,0,0
003.jpg,1200,942,AOI3,AOI 3,rect,3,0.031187,0.030769,0.566398,0.938462,,602685,0.5331608280254777,37,29,681,885
004.jpg,696,800,BG,background / rest,background,0,,,,,,348731,0.6263128591954022,0,0,696,800
004.jpg,696,800,AOI1,main object / figure,ellipse,1,0.182946,0.090769,0.64,0.68,,152473,0.2738380028735632,127,73,447,545
004.jpg,696,800,AOI2,central detail,ellipse,2,0.475293,0.152128,0.288,0.306,,38806,0.06969468390804598,331,122,201,246
004.jpg,696,800,AOI3,AOI 3,rect,3,0.022091,0.016667,0.163476,0.180769,,16790,0.030154454022988504,15,13,115,146
005.jpg,557,570,BG,background / rest,background,0,,,,,,208148,0.6556049009417619,0,0,557,570
005.jpg,557,570,AOI1,main object / figure,ellipse,1,0.18,0.16,0.64,0.68,,87096,0.27432675044883303,100,91,358,389
005.jpg,557,570,AOI2,central detail,ellipse,2,0.356,0.347,0.288,0.306,,22246,0.07006834860940502,198,198,162,175
006.jpg,1200,781,BG,background / rest,background,0,,,,,,615968,0.6572428510456679,0,0,1200,781
006.jpg,1200,781,AOI1,main object / figure,ellipse,1,0.18,0.16,0.64,0.68,,255844,0.2729876227059326,216,125,769,532
006.jpg,1200,781,AOI2,central detail,ellipse,2,0.356,0.347,0.288,0.306,,65388,0.0697695262483995,427,271,347,240
007.jpg,638,941,BG,background / rest,background,0,,,,,,394838,0.6576709230159338,0,0,638,941
007.jpg,638,941,AOI1,main object / figure,ellipse,1,0.18,0.16,0.64,0.68,,163692,0.27265731446903346,115,151,409,640
007.jpg,638,941,AOI2,central detail,ellipse,2,0.356,0.347,0.288,0.306,,41828,0.0696717625150327,227,327,185,288
008.jpg,640,404,BG,background / rest,background,0,,,,,,169819,0.6567875928217822,0,0,640,404
008.jpg,640,404,AOI1,main object / figure,ellipse,1,0.18,0.16,0.64,0.68,,70584,0.2729888613861386,115,65,411,275
008.jpg,640,404,AOI2,central detail,ellipse,2,0.356,0.347,0.288,0.306,,18157,0.0702235457920792,228,140,185,125
009.jpg,640,529,BG,background / rest,background,0,,,,,,222392,0.6568761814744801,0,0,640,529
009.jpg,640,529,AOI1,main object / figure,ellipse,1,0.18,0.16,0.64,0.68,,92642,0.2736353969754253,115,85,411,360
009.jpg,640,529,AOI2,central detail,ellipse,2,0.356,0.347,0.288,0.306,,23526,0.06948842155009452,228,184,185,162
010.jpg,525,559,BG,background / rest,background,0,,,,,,192127,0.6546622369878183,0,0,525,559
010.jpg,525,559,AOI1,main object / figure,ellipse,1,0.18,0.16,0.64,0.68,,80832,0.2754306158957322,94,89,338,382
010.jpg,525,559,AOI2,central detail,ellipse,2,0.356,0.347,0.288,0.306,,20516,0.06990714711644944,187,194,152,172
011.jpg,520,600,BG,background / rest,background,0,,,,,,205063,0.6572532051282052,0,0,520,600
011.jpg,520,600,AOI1,main object / figure,ellipse,1,0.18,0.16,0.64,0.68,,85010,0.2724679487179487,94,96,333,409
011.jpg,520,600,AOI2,central detail,ellipse,2,0.356,0.347,0.288,0.306,,21927,0.07027884615384615,185,208,151,185
012.jpg,1092,1200,BG,background / rest,background,0,,,,,,861969,0.6577907509157509,0,0,1092,1200
012.jpg,1092,1200,AOI1,main object / figure,ellipse,1,0.18,0.16,0.64,0.68,,357176,0.27257020757020756,197,192,699,817
012.jpg,1092,1200,AOI2,central detail,ellipse,2,0.356,0.347,0.288,0.306,,91255,0.06963904151404152,389,416,315,369
