run_id,participant,session,trial_index,trial_id,image_file,sample_index,sample_session_s,sample_unix_s,sample_from_image_onset_s,gaze_x_pix,gaze_y_pix,units
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,1,78.473065,1778422385.493624,0.0,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,2,78.489732,1778422385.510291,0.016667,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,3,78.506398,1778422385.526957,0.033333,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,4,78.523065,1778422385.543624,0.05,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,5,78.539732,1778422385.560291,0.066667,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,6,78.556398,1778422385.576957,0.083333,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,7,78.573065,1778422385.593624,0.1,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,8,78.589732,1778422385.610291,0.116667,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,9,78.606398,1778422385.626957,0.133333,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,10,78.623065,1778422385.643624,0.15,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,11,78.639732,1778422385.660291,0.166667,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,12,78.656398,1778422385.676957,0.183333,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,13,78.673065,1778422385.693624,0.2,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,14,78.689732,1778422385.710291,0.216667,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,15,78.706398,1778422385.726957,0.233333,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,16,78.723065,1778422385.743624,0.25,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,17,78.739732,1778422385.760291,0.266667,204.0,10.0,pix
real_001_s001_2026-05-10_16-11-47-020,001,001,1,P002,P002.ppm,18,78.756398,1778422385.776957,0.283333,204.0,10.0,pix
